Frequency (Hz)	Level (dB)
3718.750000	-56.955685
3734.375000	-69.431671
3750.000000	-64.535774
3765.625000	-65.598763
3781.250000	-72.480278
3796.875000	-72.116943
3812.500000	-69.170975
3828.125000	-72.897484
3843.750000	-61.442547
3859.375000	-58.479111
3875.000000	-60.101318
3890.625000	-64.322418
3906.250000	-66.863014
3921.875000	-67.774094
3937.500000	-68.247978
3953.125000	-70.880386
3968.750000	-71.988564
3984.375000	-67.387787
4000.000000	-59.438889
4015.625000	-56.724751
4031.250000	-60.209747
4046.875000	-73.306725
4062.500000	-75.130508
4078.125000	-72.074745
4093.750000	-72.523270
4109.375000	-73.096725
4125.000000	-90.262276
4140.625000	-76.061707
4156.250000	-77.333786
4171.875000	-81.376198
4187.500000	-75.180595
4203.125000	-77.375717
4218.750000	-71.861008
4234.375000	-71.528473
4250.000000	-72.691307
4265.625000	-75.046829
4281.250000	-77.556618
4296.875000	-78.296783
4312.500000	-77.143425
4328.125000	-76.112068
4343.750000	-75.631516
4359.375000	-75.451111
4375.000000	-75.602257
4390.625000	-78.791023
4406.250000	-81.925133
4421.875000	-91.164520
4437.500000	-95.296654
4453.125000	-116.412727
4468.750000	-87.843048
4484.375000	-81.571121
4500.000000	-80.709000
4515.625000	-74.189369
4531.250000	-67.132240
4546.875000	-69.025383
4562.500000	-77.616890
4578.125000	-87.330627
4593.750000	-87.717499
4609.375000	-89.089302
4625.000000	-83.130486
4640.625000	-77.851608
4656.250000	-74.869606
4671.875000	-73.908813
4687.500000	-74.662231
4703.125000	-77.294373
4718.750000	-82.127594
4734.375000	-86.479919
4750.000000	-82.864090
4765.625000	-77.851364
4781.250000	-77.818764
4796.875000	-75.562828
4812.500000	-62.789436
4828.125000	-67.240150
4843.750000	-70.441971
4859.375000	-78.048561
4875.000000	-80.111763
4890.625000	-80.477814
4906.250000	-81.187088
4921.875000	-72.531021
4937.500000	-68.146103
4953.125000	-64.146339
4968.750000	-54.494320
4984.375000	-54.794807
5000.000000	-70.301498
5015.625000	-62.092014
