Frequency (Hz)	Level (dB)
4234.375000	-127.297676
4250.000000	-129.665100
4265.625000	-124.445259
4281.250000	-124.559242
4296.875000	-117.681732
4312.500000	-117.447006
4328.125000	-123.017006
4343.750000	-128.487442
4359.375000	-122.940796
4375.000000	-121.613976
4390.625000	-121.328552
4406.250000	-118.298294
4421.875000	-116.456902
4437.500000	-114.043259
4453.125000	-100.651245
4468.750000	-93.146187
4484.375000	-88.638580
4500.000000	-86.943207
4515.625000	-87.326622
4531.250000	-89.060059
4546.875000	-92.011124
4562.500000	-96.645447
4578.125000	-98.049934
4593.750000	-80.959595
4609.375000	-74.686592
4625.000000	-68.455811
4640.625000	-70.742691
4656.250000	-71.056534
4671.875000	-82.253075
4687.500000	-74.217049
4703.125000	-77.286507
4718.750000	-71.117737
4734.375000	-64.653038
4750.000000	-65.955040
4765.625000	-65.470093
4781.250000	-56.196392
4796.875000	-57.312832
4812.500000	-64.640892
4828.125000	-75.848198
4843.750000	-81.476135
4859.375000	-83.126221
4875.000000	-85.508446
4890.625000	-76.746193
4906.250000	-75.240532
4921.875000	-79.130150
4937.500000	-62.823521
4953.125000	-60.098240
4968.750000	-67.307243
4984.375000	-65.835388
5000.000000	-68.869225
5015.625000	-66.181999
5031.250000	-66.906372
5046.875000	-65.756203
5062.500000	-63.200367
5078.125000	-65.810860
5093.750000	-73.697708
5109.375000	-59.822838
5125.000000	-59.799408
5140.625000	-63.229248
5156.250000	-73.375496
5171.875000	-75.255020
5187.500000	-72.122223
5203.125000	-66.631996
5218.750000	-66.065369
5234.375000	-74.011894
5250.000000	-70.971748
5265.625000	-62.333244
5281.250000	-56.115089
5296.875000	-56.718174
5312.500000	-68.132782
5328.125000	-65.393082
5343.750000	-72.649170
5359.375000	-64.697586
5375.000000	-65.436752
5390.625000	-62.407681
5406.250000	-67.281929
5421.875000	-67.325966
5437.500000	-59.762047
5453.125000	-53.131958
5468.750000	-57.199154
5484.375000	-70.656349
5500.000000	-70.884377
5515.625000	-66.417084
5531.250000	-67.484901
5546.875000	-65.001648
5562.500000	-69.810051
5578.125000	-69.240784
5593.750000	-61.043530
5609.375000	-55.174747
5625.000000	-54.438576
5640.625000	-73.506950
5656.250000	-71.283226
5671.875000	-63.452385
5687.500000	-71.353065
